"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00100641","3.0","ERS1286197","MGYS00001512","metagenomic",,"ERR1560096",
"MGYA00083287","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662425",
"MGYA00104195","3.0","ERS614333","MGYS00001609","metagenomic",,"ERR694194",
"MGYA00083318","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662369",
"MGYA00083219","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662420",
"MGYA00133909","3.0","ERS488929","MGYS00001918","metagenomic",,"ERR594363",
"MGYA00102612","3.0","SRS1043971","MGYS00001539","metagenomic",,"SRR2135775",
"MGYA00126332","3.0","SRS085665","MGYS00000355","metagenomic",,"SRR062135",
"MGYA00083128","3.0","ERS1370015","MGYS00001282","metagenomic",,"ERR1662418",
"MGYA00083388","3.0","ERS1370021","MGYS00001282","metagenomic",,"ERR1662509",
"MGYA00083111","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662376",
"MGYA00104161","3.0","ERS614331","MGYS00001609","metagenomic",,"ERR694164",
"MGYA00104179","3.0","ERS614325","MGYS00001609","metagenomic",,"ERR694202",
"MGYA00133853","3.0","ERS490388","MGYS00001918","metagenomic",,"ERR594407",
"MGYA00126426","3.0","SRS086233","MGYS00000355","metagenomic",,"SRR063386",
"MGYA00126340","3.0","SRS085725","MGYS00000355","metagenomic",,"SRR062198",
"MGYA00083353","3.0","ERS1370026","MGYS00001282","metagenomic",,"ERR1662339",
"MGYA00083289","3.0","ERS1372603","MGYS00001282","metagenomic",,"ERR1664670",
"MGYA00083502","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662347",
"MGYA00083258","3.0","ERS1370013","MGYS00001282","metagenomic",,"ERR1662186",
"MGYA00083137","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662230",
"MGYA00133875","3.0","ERS488448","MGYS00001918","metagenomic",,"ERR594378",
"MGYA00083278","3.0","ERS1370027","MGYS00001282","metagenomic",,"ERR1662373",
"MGYA00103972","3.0","ERS714917","MGYS00001608","metagenomic",,"ERR868052",
"MGYA00104151","3.0","ERS614327","MGYS00001609","metagenomic",,"ERR694125",
"MGYA00084053","3.0","ERS1418481","MGYS00001291","metagenomic",,"ERR1698989",
"MGYA00103313","3.0","ERS1568969","MGYS00000991","metagenomic",,"ERR1855284",
"MGYA00083397","3.0","ERS1372609","MGYS00001282","metagenomic",,"ERR1664712",
"MGYA00126455","3.0","SRS085778","MGYS00000355","metagenomic",,"SRR062255",
"MGYA00126393","3.0","SRS085717","MGYS00000355","metagenomic",,"SRR062190",
"MGYA00104080","3.0","ERS614325","MGYS00001609","metagenomic",,"ERR694203",
"MGYA00103343","3.0","ERS1568981","MGYS00000991","metagenomic",,"ERR1855270",
"MGYA00104079","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694130",
"MGYA00104078","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694142",
"MGYA00126443","3.0","SRS085763","MGYS00000355","metagenomic",,"SRR062240",
"MGYA00104123","3.0","ERS614329","MGYS00001609","metagenomic",,"ERR694133",
"MGYA00103337","3.0","ERS1568989","MGYS00000991","metagenomic",,"ERR1855290",
"MGYA00084052","3.0","ERS1418486","MGYS00001291","metagenomic",,"ERR1698992",
"MGYA00103322","3.0","ERS1568999","MGYS00000991","metagenomic",,"ERR1855262",
"MGYA00083150","3.0","ERS1370014","MGYS00001282","metagenomic",,"ERR1662401",
"MGYA00126408","3.0","SRS085733","MGYS00000355","metagenomic",,"SRR062206",
"MGYA00083253","3.0","ERS1370016","MGYS00001282","metagenomic",,"ERR1662444",
"MGYA00083227","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662208",
"MGYA00133924","3.0","ERS490648","MGYS00001918","metagenomic",,"ERR599370",
"MGYA00103986","3.0","ERS714918","MGYS00001608","metagenomic",,"ERR868106",
"MGYA00126351","3.0","SRS085790","MGYS00000355","metagenomic",,"SRR062275",
"MGYA00083316","3.0","ERS1370018","MGYS00001282","metagenomic",,"ERR1662215",
"MGYA00083148","3.0","ERS1372607","MGYS00001282","metagenomic",,"ERR1664702",
"MGYA00083153","3.0","ERS1370019","MGYS00001282","metagenomic",,"ERR1662238",
